,0,1
0,1.0,1.0
1,0.761694,0.656324
2,0.603648,0.454928
3,0.44365,0.334226
4,0.305346,0.25539
5,0.20247,0.202642
6,0.13316,0.148788
7,0.09197,0.10399
8,0.064072,0.074902
9,0.044238,0.052522
10,0.03257,0.036602
11,0.02397,0.024466
12,0.018556,0.01732
13,0.013314,0.011942
14,0.009696,0.008204
15,0.006774,0.005622
16,0.004728,0.003898
17,0.003236,0.002704
18,0.00228,0.001762
19,0.00165,0.00114
20,0.001234,0.000778
21,0.000932,0.000566
22,0.000674,0.000392
23,0.000506,0.00029
24,0.000376,0.000212
25,0.000294,0.00015
26,0.000224,0.000108
27,0.000166,7.4e-05
28,0.000114,5.4e-05
29,8.2e-05,4.2e-05
30,5.8e-05,3.4e-05
31,4e-05,2.8e-05
32,2.6e-05,2.2e-05
33,1.8e-05,1.8e-05
34,1.2e-05,1.4e-05
35,8e-06,1e-05
36,6e-06,8e-06
37,4e-06,6e-06
38,2e-06,4e-06
39,2e-06,2e-06
40,2e-06,2e-06
41,2e-06,2e-06
42,2e-06,2e-06
43,2e-06,2e-06
44,2e-06,2e-06
45,2e-06,2e-06
46,2e-06,2e-06
47,2e-06,2e-06
48,2e-06,2e-06
49,2e-06,2e-06
50,2e-06,2e-06
51,2e-06,2e-06
52,2e-06,2e-06
53,2e-06,2e-06
54,2e-06,2e-06
55,2e-06,2e-06
56,2e-06,2e-06
57,2e-06,2e-06
58,2e-06,2e-06
59,2e-06,2e-06
60,0.0,0.0
