,0,1
0,1.0,1.0
1,0.778152,1.0
2,0.627577,1.0
3,0.4687,1.0
4,0.327324,1.0
5,0.219856,1.0
6,0.146201,1.0
7,0.101884,1.0
8,0.071515,1.0
9,0.049697,1.0
10,0.036779,1.0
11,0.027186,1.0
12,0.021121,1.0
13,0.015205,1.0
14,0.011104,1.0
15,0.007776,1.0
16,0.00544,1.0
17,0.003729,1.0
18,0.002632,1.0
19,0.001907,1.0
20,0.001427,1.0
21,0.001078,1.0
22,0.000781,1.0
23,0.000587,1.0
24,0.000436,1.0
25,0.00034,1.0
26,0.00026,1.0
27,0.000192,1.0
28,0.000133,1.0
29,9.7e-05,1.0
30,6.8e-05,1.0
31,4.6e-05,1.0
32,3e-05,1.0
33,2e-05,1.0
34,1.3e-05,1.0
35,9e-06,1.0
36,6e-06,1.0
37,4e-06,1.0
38,3e-06,1.0
39,2e-06,1.0
40,1e-06,1.0
41,1e-06,1.0
42,1e-06,1.0
43,1e-06,1.0
44,1e-06,1.0
45,1e-06,1.0
46,1e-06,1.0
47,1e-06,1.0
48,1e-06,1.0
49,1e-06,1.0
50,1e-06,1.0
51,1e-06,1.0
52,1e-06,1.0
53,1e-06,1.0
54,1e-06,1.0
55,1e-06,1.0
56,1e-06,1.0
57,1e-06,1.0
58,1e-06,1.0
59,1e-06,1.0
60,0.0,1.0
